pig,experiment,compartment,pen,gender,bodyw_start,station,pig_index,bodyw_end
222000938070,1,A.1,A2.1,barrow,31,1,0,114
222000938175,1,A.1,A2.1,barrow,28.5,1,1,105
222000938181,1,A.1,A2.1,barrow,27,1,2,108
222000938196,1,A.1,A2.1,barrow,25.5,1,3,113
222000938228,1,A.1,A2.1,barrow,31,1,4,109
222000938229,1,A.1,A2.1,barrow,32,1,5,125
222000938265,1,A.1,A2.1,barrow,27,1,6,108
222000938282,1,A.1,A2.1,barrow,27.5,1,7,107
222000938286,1,A.1,A2.1,barrow,29.5,1,8,103
222000938299,1,A.1,A2.1,barrow,29,1,9,102
222000938311,1,A.1,A2.1,barrow,28.5,1,10,112
222000937880,1,A.1,A3.1,gilt,32,2,0,99
222000937882,1,A.1,A3.1,gilt,31.5,2,1,105
222000937891,1,A.1,A3.1,gilt,31,2,2,101
222000937905,1,A.1,A3.1,gilt,31,2,3,99
222000937908,1,A.1,A3.1,gilt,34,2,4,108
222000938188,1,A.1,A3.1,gilt,31.5,2,5,104
222000938238,1,A.1,A3.1,gilt,25,2,6,94
222000938255,1,A.1,A3.1,gilt,29.5,2,7,114
222000938256,1,A.1,A3.1,gilt,26,2,8,83
222000938262,1,A.1,A3.1,gilt,25,2,9,90
222000938263,1,A.1,A3.1,gilt,27,2,10,92
222000938014,1,B.1,B2.1,gilt,24,3,0,88
222000938133,1,B.1,B2.1,gilt,29,3,1,110
222000938154,1,B.1,B2.1,gilt,24,3,2,98
222000938184,1,B.1,B2.1,gilt,28,3,3,104
222000938189,1,B.1,B2.1,gilt,25.5,3,4,108
222000938219,1,B.1,B2.1,gilt,24,3,5,100
222000938259,1,B.1,B2.1,gilt,22,3,6,104
222000938276,1,B.1,B2.1,gilt,26.5,3,7,101
222000938278,1,B.1,B2.1,gilt,25.5,3,8,95
222000938292,1,B.1,B2.1,gilt,24,3,9,101
222000938317,1,B.1,B2.1,gilt,28,3,10,111
222000937869,1,B.1,B3.1,barrow,31.5,4,0,113
222000937870,1,B.1,B3.1,barrow,32,4,1,115
222000937874,1,B.1,B3.1,barrow,32.5,4,2,108
222000937903,1,B.1,B3.1,barrow,25.5,4,3,110
222000937976,1,B.1,B3.1,barrow,27,4,4,102
222000938095,1,B.1,B3.1,barrow,25.5,4,5,109
222000938102,1,B.1,B3.1,barrow,30.5,4,6,114
222000938194,1,B.1,B3.1,barrow,30.5,4,7,122
222000938266,1,B.1,B3.1,barrow,31.5,4,8,120
